step,fructose,fructose_6_p,allulose,allulose_6_p
0,1.7730882352941177,0.026531307325424976,1.9015634384423397e-05,0.00036144174607295716
1,1.7465750648288856,0.052311620955739685,7.366962129521629e-05,0.0010396445940795973
2,1.7204501276441766,0.07737662706868467,0.00017842038713111104,0.0019948249000076705
3,1.6947037296481011,0.10175892662204106,0.0003457736760582512,0.0031915700537995277
4,1.669326776100823,0.12548837747710367,0.0005864775717582228,0.004598368850315046
5,1.6443107125698777,0.14859239366770055,0.0009097015625792193,0.006187192199842559
6,1.6196474731369686,0.17109620764108774,0.0013232004196209498,0.00793311880232288
7,1.5953294348313283,0.19302310045329088,0.0018334637443366702,0.009814000971044234
8,1.5713493774257168,0.21439460418652895,0.002445852089677213,0.01181016629807717
9,1.547700447864452,0.23523068024958763,0.0031647205761327624,0.013904151309827695
10,1.524376128703703,0.2555498767062459,0.003993530918889135,0.0160804636711621
11,1.5013702100367088,0.2753694673378036,0.00493495276079506,0.01832536986469272
12,1.478676764453951,0.29470557477146053,0.005990955172742573,0.02062670560184615
13,1.4562901246532471,0.31357327968675536,0.007162889142153123,0.022973706517844566
14,1.434204863369418,0.3319867178390931,0.008451561824446098,0.025356856967043
15,1.4124157753393578,0.3499591664055189,0.00985730328386844,0.027767754971255092
16,1.3909178610574486,0.3675031209573971,0.01138002640056095,0.030198991584593434
17,1.3697063121094621,0.38463036419253166,0.01301928057147161,0.03264404312653463
18,1.3487764979013663,0.4013520274112837,0.014774299784599359,0.03509717490275063
19,1.328123953623582,0.4176786455938572,0.016644045599696188,0.03755335518286462
20,1.3077443693118804,0.4336202068260965,0.0186272455243966,0.04000817833762662
21,1.287633579883817,0.44918619672633164,0.020722427233046868,0.04245779615680461
22,1.2677875560448173,0.46438563844384584,0.022927949036417008,0.04489885647491994
23,1.248202395971141,0.47922712872858164,0.02524202697404901,0.04732844832622845
24,1.2288743176882722,0.49371887051019375,0.02766275886721234,0.04974405293432198
25,1.2097996520730783,0.5078687023711568,0.030188145639239862,0.05214349991652542
26,1.190974836416574,0.5216841252522186,0.032816110181308214,0.05452492814989949
27,1.172396408491501,0.5351723266880851,0.03554451401538776,0.056886750805026226
28,1.1540610010753622,0.5483402028359984,0.03837117198198592,0.05922762410665348
29,1.1359653368851443,0.5611943785291337,0.041293865158303564,0.061546419427418564
30,1.1181062238848631,0.573741225559868,0.04431035219237439,0.06384219836289469
31,1.1004805509313482,0.5859868793744626,0.04741837922051983,0.06611419047366943
32,1.083085283727441,0.597937254340095,0.05061568851888803,0.06836177341357619
33,1.0659174610550812,0.6095980577270957,0.053900026024821794,0.07058445519300145
34,1.048974191263669,0.6209748025333621,0.05726914785018958,0.07278185835277966
35,1.0322526489916395,0.6320728192639475,0.060720825896496376,0.07495370584791707
36,1.0157500721014632,0.6428972667665148,0.06425285267045465,0.0770998084615679
37,0.9994637588102745,0.6534531422124914,0.06786304538863525,0.07922005358859938
38,0.9833910650001119,0.6637452903041768,0.07154924945073711,0.08131439524497472
39,0.9675294016933208,0.6737784117795824,0.07530934135282302,0.08338284517427426
40,0.951876232680074,0.6835570712792817,0.07914123110448443,0.08542546493616046
41,0.9364290722862039,0.6930857046329045,0.08304286420724531,0.08744235887364685
42,0.9211854832706546,0.702368625617013,0.08701222324552467,0.08943366786680829
43,0.9061430748428515,0.7114100322308551,0.0910473291360855,0.0913995637902085
44,0.8912995007911706,0.7202140125318393,0.09514624207704818,0.09334024459994257
45,0.8766524577144856,0.7287845500684231,0.09930706223318483,0.09525592998390699
46,0.8621996833494818,0.737125528944413,0.10352793019029177,0.09714685751581406
47,0.8479389549870626,0.7452407385453743,0.10780702720791512,0.09901327925964858
48,0.8338680879717533,0.7531338779549064,0.11214257529654234,0.10085545877679862
49,0.8199849342785203,0.7608085600858981,0.11653283714253301,0.10267366849304925
50,0.806287381161894,0.7682683155495251,0.12097611590151425,0.1044681873870673
51,0.7927733498727023,0.7755165962826334,0.1254707548786807,0.10623929896598427
52,0.7794407944381051,0.7825567789522572,0.1300151371123897,0.10798728949724863
53,0.7662877005009644,0.7893921681543167,0.13460768487560498,0.10971244646911454
54,0.7533120842148968,0.7960259994220087,0.1392468591080965,0.11141505725499856
55,0.7405119911916409,0.8024614420580254,0.14393115879083015,0.1130954079595042
56,0.7278854954976278,0.8087016018034943,0.14865912027266104,0.11475378242621746
57,0.7154306986968811,0.8147495233554131,0.15342931655826367,0.11639046138944266
58,0.7031457289375839,0.8206081927433406,0.15824035656517582,0.11800572175390026
59,0.6910287400798464,0.8262805395751931,0.16309088435688948,0.1195998359880716
60,0.6790779108623887,0.8317694391611674,0.16797957835807786,0.12117307161836656
61,0.6672914441060109,0.8370777145240654,0.1729051505572954,0.12272569081262873
62,0.6556675659518786,0.8422081383036139,0.1778663457018144,0.12425795004269372
63,0.6442045251327831,0.8471634345617595,0.1828619404886635,0.12577009981679446
64,0.6329005922756651,0.8519462804953626,0.18789074275539877,0.12726238447357413
65,0.6217540592338033,0.8565593080621989,0.19295159067366188,0.12873504203033637
66,0.6107632384471782,0.8610051055257232,0.1980433519481579,0.1301883040789413
67,0.5999264623296154,0.8652862189236218,0.20316492302330796,0.13162239572345535
68,0.5892420826814074,0.8694051534648033,0.20831522829949853,0.13303753555429132
69,0.5787084701261908,0.8733643748591198,0.21349321936055257,0.13443393565413744
70,0.5683240135709362,0.8771663105837976,0.21869787421378542,0.1358118016314813
71,0.5580871196879789,0.8808133510902589,0.22392819654377566,0.137171332677987
72,0.5479962124180799,0.8843078509547522,0.2291832149807765,0.13851272164639183
73,0.538049732493574,0.8876521299759609,0.23446198238451152,0.13983615514595402
74,0.5282461369807113,0.8908484742225391,0.23976357514393956,0.14114181365281048
75,0.5185838988403565,0.8938991370333125,0.24508709249343363,0.14242987163289783
76,0.5090615065062541,0.896806339972698,0.2504316558456953,0.14370049767535295
77,0.4996774634801167,0.8995722737437184,0.2557964081416191,0.14495385463454621
78,0.49043028794283133,0.9021990990608301,0.2611805132172272,0.14619009977911185
79,0.48131851238112267,0.9046889474846339,0.26658315518771414,0.1474093849465297
80,0.47234068322904327,0.907043922220405,0.27200353784856945,0.14861185670198263
81,0.463495360523699,0.9092660988822494,0.2774408840936861,0.14979765650036575
82,0.45478111757464673,0.911357526224583,0.28289443535031045,0.15096692085046007
83,0.4461965406464322,0.9133202268425199,0.28836345103064376,0.15211978148040434
84,0.43774022865376344,0.9151561978426589,0.2938472079998694,0.15325636550370855
85,0.4294107928688401,0.9168674114856655,0.2993450000603458,0.15437679558514888
86,0.42120685664038465,0.9184558158019639,0.30485613745168066,0.1554811901059711
87,0.41312705512394204,0.9199233351817719,0.31037994636637933,0.15656966332790706
88,0.40517003502303767,0.9212718709406428,0.31591576848074254,0.15764232555557736
89,0.39733445434080145,0.922503301861608,0.32146296050067547,0.1586992832969154
90,0.38961898214168555,0.9236194847149544,0.32702089372205845,0.15974063942130198
